Displacement,Area,Pitch,Threshold Current
50,100,50,3.641
50,100,110,2.647
50,100,175,2.06
50,100,235,1.764
50,100,300,1.508
50,325,50,1.663
50,325,110,1.377
50,325,175,1.161
50,325,300,1.04
50,550,50,1.084
50,550,110,0.955
50,550,175,0.847
50,550,235,0.754
50,550,300,0.746
50,775,50,0.833
50,775,110,0.804
50,775,175,0.723
50,775,235,0.792
50,775,300,0.668
50,1000,50,0.776
50,1000,110,0.662
50,1000,175,0.62
50,1000,235,0.614
50,1000,300,0.535
300,100,50,10.668
300,100,110,7.565
300,100,175,5.822
300,100,235,4.764
300,100,300,3.993
300,325,50,4.506
300,325,110,3.745
300,325,175,3.161
300,325,300,2.758
300,550,50,2.911
300,550,110,2.551
300,550,175,2.246
300,550,235,1.847
300,550,300,1.845
300,775,50,2.193
300,775,110,1.989
300,775,175,1.788
300,775,235,2.025
300,775,300,1.529
300,1000,50,1.8
300,1000,110,1.658
300,1000,175,1.525
300,1000,235,1.422
300,1000,300,1.273
300,100,50,11.136
300,100,110,7.934
300,100,175,6.069
300,100,235,5.002
300,100,300,4.226
300,325,50,4.695
300,325,110,3.907
300,325,175,3.295
300,325,300,2.899
300,550,50,3.042
300,550,110,2.652
300,550,175,2.342
300,550,235,1.932
300,550,300,1.932
300,775,50,2.287
300,775,110,2.066
300,775,175,1.861
300,775,235,2.119
300,775,300,1.598
300,1000,50,1.871
300,1000,110,1.721
300,1000,175,1.582
300,1000,235,1.478
300,1000,300,1.317
300,100,50,10.682
300,100,110,7.58
300,100,175,5.803
300,100,235,5.002
300,100,300,4.017
300,325,50,4.517
300,325,110,3.746
300,325,175,3.147
300,325,300,2.769
300,550,50,2.91
300,550,110,2.546
300,550,175,2.241
300,550,235,1.843
300,550,300,1.846
300,775,50,2.196
300,775,110,1.986
300,775,175,1.795
300,775,235,2.031
300,775,300,1.531
300,1000,50,1.797
300,1000,110,1.659
300,1000,175,1.53
300,1000,235,1.422
300,1000,300,1.272
550,100,50,10.682
550,100,110,7.58
550,100,175,5.803
550,100,235,5.002
550,100,300,4.017
550,325,50,4.517
550,325,110,3.746
550,325,175,3.147
550,325,300,2.769
550,550,50,2.91
550,550,110,2.546
550,550,175,2.241
550,550,235,1.843
550,550,300,1.846
550,775,50,2.196
550,775,110,1.986
550,775,175,1.795
550,775,235,2.031
550,775,300,1.531
550,1000,50,1.797
550,1000,110,1.659
550,1000,175,1.53
550,1000,235,1.422
550,1000,300,1.272
53.3452378,94.02346896,50.51270594,3.718729422
50.93336757,85.63031017,104.738574,2.699841486
50.79701535,96.67105543,173.4416855,2.030087456
43.52869865,105.3221785,231.7396188,1.755518932
52.69048978,98.5381224,299.8841641,1.514992013
51.0618711,328.8901681,52.08875747,1.643095812
51.9622367,317.6745756,111.3169578,1.426838395
48.14944253,317.911195,174.2060235,1.16660746
50.59969714,323.0459325,303.4839663,1.041262909
54.70697263,551.5219315,49.37438861,1.105997114
46.73502857,543.5581114,108.8820571,1.006537142
50.33890458,546.63913,176.1809689,0.880831966
50.06719024,553.2778728,235.5710488,0.791146883
51.06958321,546.5980512,298.3107181,0.764925246
50.28854411,762.2783101,51.83667155,0.880423835
49.9080721,774.7875284,111.6262317,0.791324096
52.26886213,782.437459,178.3476468,0.761859077
48.48028882,774.495674,238.4470824,0.770476071
49.81446188,765.5654508,302.0484259,0.625366184
51.2242726,1001.161615,50.20408601,0.802773159
49.22286324,1001.523958,110.8707537,0.619797856
53.48146732,1001.143474,172.8530922,0.709574393
46.82902885,1008.824039,237.8323043,0.561724435
